tenant_id,no_tenant_baru,nama_tenant,booth,qr_url
T64,64,Furab (Fushion Ubi Rasa Baru),TMD-64,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T64
T65,65,BlindKey,TMD-65,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T65
T66,66,Sapoe Jagad,TMD-66,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T66
T67,67,VioBite,TMD-67,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T67
T68,68,Firies Meflow,TMD-68,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T68
T69,69,FOMOTO CREATIVE PAD,TMD-69,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T69
T70,70,Ruang Kreatif,TMD-70,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T70
T72,72,CIWIE,TMD-72,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T72
T73,73,Langkah Pasti,TMD-73,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T73
T74,74,Brew and Bite,TMD-74,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T74
T75,75,Wick Society,TMD-75,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T75
T76,76,BEN10,TMD-76,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T76
T77,77,Laras Nusantara,TMD-77,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T77
T78,78,Sankatsu,TMD-78,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T78
T79,79,Cuteloop,TMD-79,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T79
T80,80,Santuy,TMD-80,https://vote-tenant-tmd2026.netlify.app/vote?tenant=T80
